user_id,platform,marketing_source,user_segment,variant,application_started,kyc_completed,account_opened,first_purchase,engaged_30d,active_at_90_days,resumed_usage_90d,purchases_30d,spend_30_days
C0086,iOS,Organic,Family,Treatment,1,1,1,1,1,1,0,2,66.00
C0087,Android,Referral,Small Business,Control,1,1,1,1,1,1,0,3,106.50
C0088,Android,Referral,Small Business,Treatment,1,1,1,1,1,1,0,3,106.50
C0089,Web,Paid Search,Young Professional,Control,1,1,1,1,1,1,0,4,152.00
C0090,Web,Paid Search,Young Professional,Treatment,1,1,1,1,1,1,0,4,152.00
C0091,iOS,Organic,Student,Control,1,1,1,1,1,1,0,5,90.00
C0092,iOS,Organic,Student,Treatment,1,1,1,1,1,1,0,5,90.00
C0093,Android,Referral,Family,Control,1,1,1,1,1,1,0,6,123.00
C0094,Android,Referral,Family,Treatment,1,1,1,1,1,1,0,6,123.00
C0095,Web,Paid Search,Small Business,Control,1,1,1,1,1,1,0,7,161.00
C0096,Web,Paid Search,Small Business,Treatment,1,1,1,1,1,1,0,7,161.00
C0097,iOS,Organic,Young Professional,Control,1,1,1,1,1,1,0,8,204.00
C0098,iOS,Organic,Young Professional,Treatment,1,1,1,1,1,1,0,8,204.00
C0099,Android,Referral,Student,Control,1,1,1,1,1,1,0,2,56.00
C0100,Android,Referral,Student,Treatment,1,1,1,1,1,1,0,2,56.00
C0101,Web,Paid Search,Family,Control,1,1,1,1,1,1,0,3,91.50
C0102,Web,Paid Search,Family,Treatment,1,1,1,1,1,1,0,3,91.50
C0103,iOS,Organic,Small Business,Control,1,1,1,1,1,1,0,4,132.00
C0104,iOS,Organic,Small Business,Treatment,1,1,1,1,1,1,0,4,132.00
C0105,Android,Referral,Young Professional,Control,1,1,1,1,1,1,0,5,177.50
C0106,Android,Referral,Young Professional,Treatment,1,1,1,1,1,1,0,5,177.50
C0107,Web,Paid Search,Student,Control,1,1,1,1,1,1,0,6,228.00
C0108,Web,Paid Search,Student,Treatment,1,1,1,1,1,1,0,6,228.00
C0109,iOS,Organic,Family,Control,1,1,1,1,1,1,0,7,126.00
C0110,iOS,Organic,Family,Treatment,1,1,1,1,1,1,0,7,126.00
C0111,Android,Referral,Small Business,Control,1,1,1,1,1,1,0,8,164.00
C0112,Android,Referral,Small Business,Treatment,1,1,1,1,1,1,0,8,164.00
C0113,Web,Paid Search,Young Professional,Control,1,1,1,1,1,1,0,2,46.00
C0114,Web,Paid Search,Young Professional,Treatment,1,1,1,1,1,1,0,2,46.00
C0115,iOS,Organic,Student,Control,1,1,1,1,1,1,0,3,76.50
C0116,iOS,Organic,Student,Treatment,1,1,1,1,1,1,0,3,76.50
C0117,Android,Referral,Family,Control,1,1,1,1,1,1,0,4,112.00
C0118,Android,Referral,Family,Treatment,1,1,1,1,1,1,0,4,112.00
C0119,Web,Paid Search,Small Business,Control,1,1,1,1,1,1,0,5,152.50
C0120,Web,Paid Search,Small Business,Treatment,1,1,1,1,1,1,0,5,152.50
C0121,iOS,Organic,Young Professional,Control,1,1,1,1,1,1,0,6,198.00
C0122,iOS,Organic,Young Professional,Treatment,1,1,1,1,1,1,0,6,198.00
C0123,Android,Referral,Student,Control,1,1,1,1,1,1,0,7,248.50
C0124,Android,Referral,Student,Treatment,1,1,1,1,1,1,0,7,248.50
C0125,Web,Paid Search,Family,Control,1,1,1,1,1,1,0,8,304.00
C0126,Web,Paid Search,Family,Treatment,1,1,1,1,1,1,0,8,304.00
C0127,iOS,Organic,Small Business,Control,1,1,1,1,1,1,0,2,36.00
C0128,iOS,Organic,Small Business,Treatment,1,1,1,1,1,1,0,2,36.00
C0129,Android,Referral,Young Professional,Control,1,1,1,1,1,1,0,3,61.50
C0130,Android,Referral,Young Professional,Treatment,1,1,1,1,1,1,0,3,61.50
C0131,Web,Paid Search,Student,Control,1,1,1,1,1,1,0,4,92.00
C0132,Web,Paid Search,Student,Treatment,1,1,1,1,1,1,0,4,92.00
C0133,iOS,Organic,Family,Control,1,1,1,1,1,1,0,5,127.50
C0134,iOS,Organic,Family,Treatment,1,1,1,1,1,1,0,5,127.50
C0135,Android,Referral,Small Business,Control,1,1,1,1,1,1,0,6,168.00
C0136,Android,Referral,Small Business,Treatment,1,1,1,1,1,1,0,6,168.00
C0137,Web,Paid Search,Young Professional,Control,1,1,1,1,1,1,0,7,213.50
C0138,Web,Paid Search,Young Professional,Treatment,1,1,1,1,1,1,0,7,213.50
C0139,iOS,Organic,Student,Control,1,1,1,1,1,1,0,8,264.00
C0140,iOS,Organic,Student,Treatment,1,1,1,1,1,1,0,8,264.00
C0141,Android,Referral,Family,Control,1,1,1,1,1,1,0,2,71.00
C0142,Android,Referral,Family,Treatment,1,1,1,1,1,1,0,2,71.00
C0143,Web,Paid Search,Small Business,Control,1,1,1,1,1,1,0,3,114.00
C0144,Web,Paid Search,Small Business,Treatment,1,1,1,1,1,1,0,3,114.00
C0145,iOS,Organic,Young Professional,Control,1,1,1,1,1,1,0,4,72.00
C0146,iOS,Organic,Young Professional,Treatment,1,1,1,1,1,1,0,4,72.00
C0147,Android,Referral,Student,Control,1,1,1,1,1,1,0,5,102.50
C0148,Android,Referral,Student,Treatment,1,1,1,1,1,1,0,5,102.50
C0149,Web,Paid Search,Family,Control,1,1,1,1,1,1,0,6,138.00
C0150,Web,Paid Search,Family,Treatment,1,1,1,1,1,1,0,6,138.00
C0151,iOS,Organic,Small Business,Control,1,1,1,1,1,1,0,7,178.50
C0152,iOS,Organic,Small Business,Treatment,1,1,1,1,1,1,0,7,178.50
C0153,Android,Referral,Young Professional,Control,1,1,1,1,1,1,0,8,224.00
C0154,Android,Referral,Young Professional,Treatment,1,1,1,1,1,1,0,8,224.00
C0155,Web,Paid Search,Student,Control,1,1,1,1,1,1,0,2,61.00
C0156,Web,Paid Search,Student,Treatment,1,1,1,1,1,1,0,2,61.00
C0157,iOS,Organic,Family,Control,1,1,1,1,1,1,0,3,99.00
C0158,iOS,Organic,Family,Treatment,1,1,1,1,1,1,0,3,99.00
C0159,Android,Referral,Small Business,Control,1,1,1,1,1,1,0,4,142.00
C0160,Android,Referral,Small Business,Treatment,1,1,1,1,1,1,0,4,142.00
C0161,Web,Paid Search,Young Professional,Control,1,1,1,1,0,1,1,0,0.00
C0162,Web,Paid Search,Young Professional,Treatment,1,1,1,1,1,1,0,5,190.00
C0163,iOS,Organic,Student,Control,1,1,1,1,0,1,1,0,0.00
C0164,iOS,Organic,Student,Treatment,1,1,1,1,1,1,0,6,108.00
C0165,Android,Referral,Family,Control,1,1,1,1,0,1,1,0,0.00
C0166,Android,Referral,Family,Treatment,1,1,1,1,1,1,0,7,143.50
C0167,Web,Paid Search,Small Business,Control,1,1,1,1,0,1,1,0,0.00
C0168,Web,Paid Search,Small Business,Treatment,1,1,1,1,1,1,0,8,184.00
C0169,iOS,Organic,Young Professional,Control,1,1,1,1,0,1,1,0,0.00
C0170,iOS,Organic,Young Professional,Treatment,1,1,1,1,1,1,0,2,51.00
C0171,Android,Referral,Student,Control,1,1,1,1,0,1,1,0,0.00
C0172,Android,Referral,Student,Treatment,1,1,1,1,1,1,0,3,84.00
C0173,Web,Paid Search,Family,Control,1,1,1,1,0,1,1,0,0.00
C0174,Web,Paid Search,Family,Treatment,1,1,1,1,1,1,0,4,122.00
C0175,iOS,Organic,Small Business,Control,1,1,1,1,0,1,1,0,0.00
C0176,iOS,Organic,Small Business,Treatment,1,1,1,1,1,1,0,5,165.00
C0177,Android,Referral,Young Professional,Control,1,1,1,1,0,1,1,0,0.00
C0178,Android,Referral,Young Professional,Treatment,1,1,1,1,1,1,0,6,213.00
C0179,Web,Paid Search,Student,Control,1,1,1,1,0,1,1,0,0.00
C0180,Web,Paid Search,Student,Treatment,1,1,1,1,1,1,0,7,266.00
C0181,iOS,Organic,Family,Control,1,1,1,1,0,1,1,0,0.00
C0182,iOS,Organic,Family,Treatment,1,1,1,1,1,1,0,8,144.00
C0183,Android,Referral,Small Business,Control,1,1,1,1,0,1,1,0,0.00
C0184,Android,Referral,Small Business,Treatment,1,1,1,1,1,1,0,2,41.00
C0185,Web,Paid Search,Young Professional,Control,1,1,1,1,0,1,1,0,0.00
C0186,Web,Paid Search,Young Professional,Treatment,1,1,1,1,1,1,0,3,69.00
C0187,iOS,Organic,Student,Control,1,1,1,1,0,1,1,0,0.00
C0188,iOS,Organic,Student,Treatment,1,1,1,1,1,1,0,4,102.00
C0189,Android,Referral,Family,Control,1,1,1,1,0,1,1,0,0.00
C0190,Android,Referral,Family,Treatment,1,1,1,1,1,1,0,5,140.00
C0191,Web,Paid Search,Small Business,Control,1,1,1,1,0,0,0,0,0.00
C0192,Web,Paid Search,Small Business,Treatment,1,1,1,1,1,1,0,6,183.00
C0193,iOS,Organic,Young Professional,Control,1,1,1,1,0,0,0,0,0.00
C0194,iOS,Organic,Young Professional,Treatment,1,1,1,1,1,1,0,7,231.00
C0195,Android,Referral,Student,Control,1,1,1,1,0,0,0,0,0.00
C0196,Android,Referral,Student,Treatment,1,1,1,1,1,1,0,8,284.00
C0197,Web,Paid Search,Family,Control,1,1,1,1,0,0,0,0,0.00
C0198,Web,Paid Search,Family,Treatment,1,1,1,1,1,1,0,2,76.00
C0199,iOS,Organic,Small Business,Control,1,1,1,1,0,0,0,0,0.00
C0200,iOS,Organic,Small Business,Treatment,1,1,1,1,1,1,0,3,54.00
C0201,Android,Referral,Young Professional,Control,1,1,1,1,0,0,0,0,0.00
C0202,Android,Referral,Young Professional,Treatment,1,1,1,1,0,1,1,0,0.00
C0203,Web,Paid Search,Student,Control,1,1,1,1,0,0,0,0,0.00
C0204,Web,Paid Search,Student,Treatment,1,1,1,1,0,1,1,0,0.00
C0205,iOS,Organic,Family,Control,1,1,1,1,0,0,0,0,0.00
C0206,iOS,Organic,Family,Treatment,1,1,1,1,0,1,1,0,0.00
C0207,Android,Referral,Small Business,Control,1,1,1,1,0,0,0,0,0.00
C0208,Android,Referral,Small Business,Treatment,1,1,1,1,0,1,1,0,0.00
C0209,Web,Paid Search,Young Professional,Control,1,1,1,1,0,0,0,0,0.00
C0210,Web,Paid Search,Young Professional,Treatment,1,1,1,1,0,1,1,0,0.00
C0211,iOS,Organic,Student,Control,1,1,1,0,0,0,0,0,0.00
C0212,iOS,Organic,Student,Treatment,1,1,1,1,0,1,1,0,0.00
C0213,Android,Referral,Family,Control,1,1,1,0,0,0,0,0,0.00
C0214,Android,Referral,Family,Treatment,1,1,1,1,0,1,1,0,0.00
C0215,Web,Paid Search,Small Business,Control,1,1,1,0,0,0,0,0,0.00
C0216,Web,Paid Search,Small Business,Treatment,1,1,1,1,0,1,1,0,0.00
C0217,iOS,Organic,Young Professional,Control,1,1,1,0,0,0,0,0,0.00
C0218,iOS,Organic,Young Professional,Treatment,1,1,1,1,0,1,1,0,0.00
C0219,Android,Referral,Student,Control,1,1,1,0,0,0,0,0,0.00
C0220,Android,Referral,Student,Treatment,1,1,1,1,0,1,1,0,0.00
C0221,Web,Paid Search,Family,Control,1,1,1,0,0,0,0,0,0.00
C0222,Web,Paid Search,Family,Treatment,1,1,1,1,0,1,1,0,0.00
C0223,iOS,Organic,Small Business,Control,1,1,1,0,0,0,0,0,0.00
C0224,iOS,Organic,Small Business,Treatment,1,1,1,1,0,1,1,0,0.00
C0225,Android,Referral,Young Professional,Control,1,1,1,0,0,0,0,0,0.00
C0226,Android,Referral,Young Professional,Treatment,1,1,1,1,0,1,1,0,0.00
C0227,Web,Paid Search,Student,Control,1,1,1,0,0,0,0,0,0.00
C0228,Web,Paid Search,Student,Treatment,1,1,1,1,0,1,1,0,0.00
C0229,iOS,Organic,Family,Control,1,1,1,0,0,0,0,0,0.00
C0230,iOS,Organic,Family,Treatment,1,1,1,1,0,1,1,0,0.00
C0231,Android,Referral,Small Business,Control,1,1,1,0,0,0,0,0,0.00
C0232,Android,Referral,Small Business,Treatment,1,1,1,1,0,0,0,0,0.00
C0233,Web,Paid Search,Young Professional,Control,1,1,1,0,0,0,0,0,0.00
C0234,Web,Paid Search,Young Professional,Treatment,1,1,1,1,0,0,0,0,0.00
C0235,iOS,Organic,Student,Control,1,1,1,0,0,0,0,0,0.00
C0236,iOS,Organic,Student,Treatment,1,1,1,1,0,0,0,0,0.00
C0237,Android,Referral,Family,Control,1,1,1,0,0,0,0,0,0.00
C0238,Android,Referral,Family,Treatment,1,1,1,1,0,0,0,0,0.00
C0239,Web,Paid Search,Small Business,Control,1,1,1,0,0,0,0,0,0.00
C0240,Web,Paid Search,Small Business,Treatment,1,1,1,1,0,0,0,0,0.00
C0241,iOS,Organic,Young Professional,Control,1,1,0,0,0,0,0,0,0.00
C0242,iOS,Organic,Young Professional,Treatment,1,1,1,1,0,0,0,0,0.00
C0243,Android,Referral,Student,Control,1,1,0,0,0,0,0,0,0.00
C0244,Android,Referral,Student,Treatment,1,1,1,1,0,0,0,0,0.00
C0245,Web,Paid Search,Family,Control,1,1,0,0,0,0,0,0,0.00
C0246,Web,Paid Search,Family,Treatment,1,1,1,1,0,0,0,0,0.00
C0247,iOS,Organic,Small Business,Control,1,1,0,0,0,0,0,0,0.00
C0248,iOS,Organic,Small Business,Treatment,1,1,1,1,0,0,0,0,0.00
C0249,Android,Referral,Young Professional,Control,1,1,0,0,0,0,0,0,0.00
C0250,Android,Referral,Young Professional,Treatment,1,1,1,1,0,0,0,0,0.00
C0251,Web,Paid Search,Student,Control,1,1,0,0,0,0,0,0,0.00
C0252,Web,Paid Search,Student,Treatment,1,1,1,0,0,0,0,0,0.00
C0253,iOS,Organic,Family,Control,1,1,0,0,0,0,0,0,0.00
C0254,iOS,Organic,Family,Treatment,1,1,1,0,0,0,0,0,0.00
C0255,Android,Referral,Small Business,Control,1,1,0,0,0,0,0,0,0.00
C0256,Android,Referral,Small Business,Treatment,1,1,1,0,0,0,0,0,0.00
C0257,Web,Paid Search,Young Professional,Control,1,1,0,0,0,0,0,0,0.00
C0258,Web,Paid Search,Young Professional,Treatment,1,1,1,0,0,0,0,0,0.00
C0259,iOS,Organic,Student,Control,1,1,0,0,0,0,0,0,0.00
C0260,iOS,Organic,Student,Treatment,1,1,1,0,0,0,0,0,0.00
C0261,Android,Referral,Family,Control,1,1,0,0,0,0,0,0,0.00
C0262,Android,Referral,Family,Treatment,1,1,1,0,0,0,0,0,0.00
C0263,Web,Paid Search,Small Business,Control,1,1,0,0,0,0,0,0,0.00
C0264,Web,Paid Search,Small Business,Treatment,1,1,1,0,0,0,0,0,0.00
C0265,iOS,Organic,Young Professional,Control,1,1,0,0,0,0,0,0,0.00
C0266,iOS,Organic,Young Professional,Treatment,1,1,1,0,0,0,0,0,0.00
C0267,Android,Referral,Student,Control,1,1,0,0,0,0,0,0,0.00
C0268,Android,Referral,Student,Treatment,1,1,1,0,0,0,0,0,0.00
C0269,Web,Paid Search,Family,Control,1,1,0,0,0,0,0,0,0.00
C0270,Web,Paid Search,Family,Treatment,1,1,1,0,0,0,0,0,0.00
C0271,iOS,Organic,Small Business,Control,1,1,0,0,0,0,0,0,0.00
C0272,iOS,Organic,Small Business,Treatment,1,1,1,0,0,0,0,0,0.00
C0273,Android,Referral,Young Professional,Control,1,1,0,0,0,0,0,0,0.00
C0274,Android,Referral,Young Professional,Treatment,1,1,1,0,0,0,0,0,0.00
C0275,Web,Paid Search,Student,Control,1,1,0,0,0,0,0,0,0.00
C0276,Web,Paid Search,Student,Treatment,1,1,1,0,0,0,0,0,0.00
C0277,iOS,Organic,Family,Control,1,1,0,0,0,0,0,0,0.00
C0278,iOS,Organic,Family,Treatment,1,1,1,0,0,0,0,0,0.00
C0279,Android,Referral,Small Business,Control,1,1,0,0,0,0,0,0,0.00
C0280,Android,Referral,Small Business,Treatment,1,1,1,0,0,0,0,0,0.00
C0281,Web,Paid Search,Young Professional,Control,1,1,0,0,0,0,0,0,0.00
C0282,Web,Paid Search,Young Professional,Treatment,1,1,0,0,0,0,0,0,0.00
C0283,iOS,Organic,Student,Control,1,1,0,0,0,0,0,0,0.00
C0284,iOS,Organic,Student,Treatment,1,1,0,0,0,0,0,0,0.00
C0285,Android,Referral,Family,Control,1,1,0,0,0,0,0,0,0.00
C0286,Android,Referral,Family,Treatment,1,1,0,0,0,0,0,0,0.00
C0287,Web,Paid Search,Small Business,Control,1,1,0,0,0,0,0,0,0.00
C0288,Web,Paid Search,Small Business,Treatment,1,1,0,0,0,0,0,0,0.00
C0289,iOS,Organic,Young Professional,Control,1,1,0,0,0,0,0,0,0.00
C0290,iOS,Organic,Young Professional,Treatment,1,1,0,0,0,0,0,0,0.00
C0291,Android,Referral,Student,Control,1,1,0,0,0,0,0,0,0.00
C0292,Android,Referral,Student,Treatment,1,1,0,0,0,0,0,0,0.00
C0293,Web,Paid Search,Family,Control,1,1,0,0,0,0,0,0,0.00
C0294,Web,Paid Search,Family,Treatment,1,1,0,0,0,0,0,0,0.00
C0295,iOS,Organic,Small Business,Control,1,1,0,0,0,0,0,0,0.00
C0296,iOS,Organic,Small Business,Treatment,1,1,0,0,0,0,0,0,0.00
C0297,Android,Referral,Young Professional,Control,1,1,0,0,0,0,0,0,0.00
C0298,Android,Referral,Young Professional,Treatment,1,1,0,0,0,0,0,0,0.00
C0299,Web,Paid Search,Student,Control,1,1,0,0,0,0,0,0,0.00
C0300,Web,Paid Search,Student,Treatment,1,1,0,0,0,0,0,0,0.00
C0301,iOS,Organic,Family,Control,1,1,0,0,0,0,0,0,0.00
C0302,iOS,Organic,Family,Treatment,1,1,0,0,0,0,0,0,0.00
C0303,Android,Referral,Small Business,Control,1,1,0,0,0,0,0,0,0.00
C0304,Android,Referral,Small Business,Treatment,1,1,0,0,0,0,0,0,0.00
C0305,Web,Paid Search,Young Professional,Control,1,1,0,0,0,0,0,0,0.00
C0306,Web,Paid Search,Young Professional,Treatment,1,1,0,0,0,0,0,0,0.00
C0307,iOS,Organic,Student,Control,1,1,0,0,0,0,0,0,0.00
C0308,iOS,Organic,Student,Treatment,1,1,0,0,0,0,0,0,0.00
C0309,Android,Referral,Family,Control,1,1,0,0,0,0,0,0,0.00
C0310,Android,Referral,Family,Treatment,1,1,0,0,0,0,0,0,0.00
C0311,Web,Paid Search,Small Business,Control,1,1,0,0,0,0,0,0,0.00
C0312,Web,Paid Search,Small Business,Treatment,1,1,0,0,0,0,0,0,0.00
C0313,iOS,Organic,Young Professional,Control,1,1,0,0,0,0,0,0,0.00
C0314,iOS,Organic,Young Professional,Treatment,1,1,0,0,0,0,0,0,0.00
C0315,Android,Referral,Student,Control,1,1,0,0,0,0,0,0,0.00
C0316,Android,Referral,Student,Treatment,1,1,0,0,0,0,0,0,0.00
C0317,Web,Paid Search,Family,Control,1,1,0,0,0,0,0,0,0.00
C0318,Web,Paid Search,Family,Treatment,1,1,0,0,0,0,0,0,0.00
C0319,iOS,Organic,Small Business,Control,1,1,0,0,0,0,0,0,0.00
C0320,iOS,Organic,Small Business,Treatment,1,1,0,0,0,0,0,0,0.00
C0321,Android,Referral,Young Professional,Control,1,1,0,0,0,0,0,0,0.00
C0322,Android,Referral,Young Professional,Treatment,1,1,0,0,0,0,0,0,0.00
C0323,Web,Paid Search,Student,Control,1,1,0,0,0,0,0,0,0.00
C0324,Web,Paid Search,Student,Treatment,1,1,0,0,0,0,0,0,0.00
C0325,iOS,Organic,Family,Control,1,1,0,0,0,0,0,0,0.00
C0326,iOS,Organic,Family,Treatment,1,1,0,0,0,0,0,0,0.00
C0327,Android,Referral,Small Business,Control,1,1,0,0,0,0,0,0,0.00
C0328,Android,Referral,Small Business,Treatment,1,1,0,0,0,0,0,0,0.00
C0329,Web,Paid Search,Young Professional,Control,1,1,0,0,0,0,0,0,0.00
C0330,Web,Paid Search,Young Professional,Treatment,1,1,0,0,0,0,0,0,0.00
C0331,iOS,Organic,Student,Control,1,1,0,0,0,0,0,0,0.00
C0332,iOS,Organic,Student,Treatment,1,1,0,0,0,0,0,0,0.00
C0333,Android,Referral,Family,Control,1,1,0,0,0,0,0,0,0.00
C0334,Android,Referral,Family,Treatment,1,1,0,0,0,0,0,0,0.00
C0335,Web,Paid Search,Small Business,Control,1,1,0,0,0,0,0,0,0.00
C0336,Web,Paid Search,Small Business,Treatment,1,1,0,0,0,0,0,0,0.00
C0337,iOS,Organic,Young Professional,Control,1,1,0,0,0,0,0,0,0.00
C0338,iOS,Organic,Young Professional,Treatment,1,1,0,0,0,0,0,0,0.00
C0339,Android,Referral,Student,Control,1,1,0,0,0,0,0,0,0.00
C0340,Android,Referral,Student,Treatment,1,1,0,0,0,0,0,0,0.00
C0341,Web,Paid Search,Family,Control,1,0,0,0,0,0,0,0,0.00
C0342,Web,Paid Search,Family,Treatment,1,1,0,0,0,0,0,0,0.00
C0343,iOS,Organic,Small Business,Control,1,0,0,0,0,0,0,0,0.00
